Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors
Pentera,1000000000,1/11/2022,Cybersecurity,Petah Tikva,Israel,Asia,2015,190000000,"AWZ Ventures, Blackstone, Insight Partners"
Ada Support,1000000000,5/7/2021,Artificial intelligence,Toronto,Canada,North America,2016,191000000,"Version One Ventures, Bessemer Venture Partners, FirstMark Capital"
MOLOCO,2000000000,4/29/2021,Artificial intelligence,Redwood City,United States,North America,2013,192000000,"Smilegate Investment, DSC Investments, KTB Ventures"
MURAL,2000000000,7/20/2021,Internet software & services,San Francisco,United States,North America,2011,192000000,"Insight Partners, Tiger Global Management, Gradient Ventures"
Alation,1000000000,6/3/2021,Internet software & services,Redwood City,United States,North America,2012,192000000,"Costanoa Ventures, Data Collective, Salesforce Ventures"
Happy Money,1000000000,2/8/2022,Fintech,Tustin,United States,North America,2009,192000000,"FirstMark Capital, Anthemis, CMFG Ventures"
Orca Bio,1000000000,6/17/2020,Health,Menlo Park,United States,North America,2016,192000000,"Lightspeed Venture Partners, Data Collective, 8VC"
Accelerant,2000000000,1/12/2022,Other,Colchester,United Kingdom,Europe,2018,193000000,"Deer Park Road, Altamont Capital Partners, Eldridge"
apna,1000000000,9/15/2021,Internet software & services,Bengaluru,India,Asia,2019,193000000,"Sequoia Capital India, Rocketship.vc, Lightspeed India Partners"
UpGrad,1000000000,8/9/2021,Edtech,Mumbai,India,Asia,2015,194000000,"Qualcomm Ventures, Accel, Canaan Partners"
Unite Us,2000000000,3/16/2021,Health,New York,United States,North America,2014,195000000,"Insight Partners, Sequoia Capital, Index Ventures"
Harness,2000000000,1/14/2021,Artificial intelligence,San Francisco,United States,North America,2016,195000000,"Menlo Ventures, Alkeon Capital Management, Citi Ventures"
PicsArt,1000000000,8/26/2021,Mobile & telecommunications,San Francisco,United States,North America,2011,195000000,"Sequoia Capital, DCM Ventures, Insight Partners"
CommerceIQ,1000000000,3/21/2022,Artificial Intelligence,Palo Alto,United States,North America,2012,196000000,"Trinity Ventures, Madrona Venture Group, Shasta Ventures"
IRL,1000000000,6/15/2021,Internet software & services,San Francisco,United States,North America,2017,197000000,"Goodwater Capital, Floodgate, Founders Fund"
Nextiva,3000000000,9/14/2021,Internet software & services,Scottsdale,United States,North America,2008,200000000,Goldman Sachs Asset Management
Pantheon Systems,2000000000,7/13/2021,Internet software & services,San Francisco,United States,North America,2010,200000000,"Foundry Group, Scale Venture Partners, SoftBank Group"
Wave,2000000000,9/7/2021,Fintech,Dakar,Senegal,Africa,2018,200000000,"Stripe, Founders Fund, Partech Partners"
Trendy Group International,2000000000,2/13/2012,Consumer & retail,Kowloon,Hong Kong,Asia,1999,200000000,L Capital Partners
People.ai,1000000000,8/11/2021,Internet software & services,San Francisco,United States,North America,2017,200000000,"GGV Capital, Lightspeed Venture Partners, ICONIQ Capital"
Radius Payment Solutions,1000000000,11/27/2017,Fintech,Crewe,United Kingdom,Europe,1990,200000000,Inflexion Private Equity
Aptos,1000000000,3/15/2022,Internet software & services,Palo Alto,United States,North America,2021,200000000,"Andreessen Horowitz, Coinbase Ventures, Tiger Global Management"
iCarbonX,1000000000,4/12/2016,Artificial intelligence,Shenzhen,China,Asia,2015,200000000,"Tencent, Vcanbio"
Infobip,1000000000,7/30/2020,Mobile & telecommunications,Vodnjan,Croatia,Europe,2006,200000000,One Equity Partners
Orbbec Technology,1000000000,5/21/2018,Hardware,Shenzhen,China,Asia,2013,200000000,"R-Z Capital, Green Pine Capital Partners, SAIF Partners China"
Weights & Biases,1000000000,10/13/2021,Internet software & services,San Francisco,United States,North America,2017,200000000,"Coatue Management, Insight Partners, Trinity Ventures"
XForcePlus,1000000000,6/1/2021,Internet software & services,Shanghai,China,Asia,2015,200000000,"Eastern Bell Capital, Danhua Capital, MSA Capital"
Lukka,1000000000,1/14/2022,Fintech,New York,United States,North America,2014,201000000,"Liberty City Ventures, Soros Fund Management, Summer Capital"
Netlify,2000000000,11/17/2021,Internet software & services,San Francisco,United States,North America,2014,202000000,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures"
Tripledot,1000000000,2/14/2022,Mobile & telecommunications,London,United Kingdom,Europe,2017,202000000,"Lightspeed Venture Partners, Access Industries, Eldridge"
Zego,1000000000,3/9/2021,Fintech,London,United Kingdom,Europe,2016,202000000,"LocalGlobe, Balderton Capital, Target Global"
Maven Clinic,1000000000,8/17/2021,Health,New York,United States,North America,2014,202000000,"Female Founders Fund, Oak HC/FT Partners, Sequoia Capital"
Next Silicon,2000000000,6/14/2021,Hardware,Tel Aviv,Israel,Asia,2018,203000000,"Amiti Ventures, Playground Global, Aleph"
Loom,2000000000,5/20/2021,Internet software & services,San Francisco,United States,North America,2016,204000000,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst"
STORD,1000000000,9/13/2021,"Supply chain, logistics, & delivery",Atlanta,United States,North America,2015,205000000,"Dynamo VC, Susa Ventures, Founders Fund"
Beyond Identity,1000000000,2/22/2022,Cybersecurity,New York,United States,North America,2019,205000000,"New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners"
Betterfly,1000000000,2/1/2022,Artificial intelligence,Santiago,Chile,South America,2018,205000000,"QED Investors, DST Global, Endeavor"
Lessen,1000000000,11/30/2021,Internet software & services,Scottsdale,United States,North America,2019,205000000,"Khosla Ventures, General Catalyst, Navitas Capital"
Axtria,1000000000,5/13/2021,Data management & analytics,Berkeley Heights,United States,North America,2009,206000000,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India"
YunQuNa,1000000000,6/29/2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2015,207000000,"Source Code Capital, Coatue Management, DCM Ventures"
Electric,1000000000,3/29/2022,Cybersecurity,New York,United States,North America,2016,209000000,"Primary Venture Partners, Bessemer Venture Partners, Harmonic Growth Partners"
Aiven,2000000000,10/18/2021,Internet software & services,Helsinki,Finland,Europe,2016,210000000,"Institutional Venture Partners, Atomico, Earlybird Venture Capital"
Sunbit,1000000000,5/20/2021,Fintech,Los Angeles,United States,North America,2016,210000000,"Zeev Ventures, Group11, Chicago Ventures"
bolttech,1000000000,7/1/2021,Fintech,,Singapore,Asia,2018,210000000,"Mundi Ventures, Doqling Capital Partners, Activant Capital"
Thirty Madison,1000000000,6/2/2021,Health,New York,United States,North America,1993,210000000,"Northzone Ventures, Maveron, Johnson & Johnson Innovation"
Mu Sigma,2000000000,2/7/2013,Data management & analytics,Northbrook,United States,North America,2004,211000000,"Sequoia Capital, General Atlantic"
Flipboard,1000000000,7/22/2015,Internet software & services,Palo Alto,United States,North America,2010,211000000,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners"
Shukun Technology,1000000000,8/16/2021,Artificial Intelligence,Beijing,China,Asia,2017,211000000,"Marathon Venture Partners, Huagai Capital, China Creation Ventures"
dMed Biopharmaceutical,1000000000,7/12/2021,Health,Shanghai,China,Asia,2016,214000000,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China"
Island,1000000000,3/23/2022,Internet software & services,Dallas,United States,North America,2020,215000000,"Insight Partners, Sequoia Capital, Stripes Group"
SoundHound,1000000000,5/3/2018,Artificial intelligence,Santa Clara,United States,North America,2005,215000000,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera"
Xendit,1000000000,9/14/2021,Fintech,Jakarta,Indonesia,Asia,2014,215000000,"Accel, Y Combinator, Amasia"
Yello Mobile,4000000000,11/11/2014,Mobile & telecommunications,Seoul,South Korea,Asia,2012,216000000,Formation 8
Tubatu.com,2000000000,3/9/2015,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,216000000,"Sequoia Capital China, Matrix Partners China, 58.com"
Pacaso,2000000000,3/24/2021,Fintech,Cincinnati,United States,North America,2020,217000000,"Global Founders Capital, Shea Ventures, Greycroft"
Density,1000000000,11/10/2021,Hardware,San Francisco,United States,North America,2014,217000000,"Founders Fund, Upfront Ventures, 01 Advisors"
Visier,1000000000,6/29/2021,Internet software & services,Vancouver,Canada,North America,2010,217000000,"Foundation Capital, Summit Partners, Adams Street Partners"
Persona,2000000000,9/15/2021,Cybersecurity,San Francisco,United States,North America,2018,218000000,"Coatue Management, Index Ventures, Founders Fund"
Uptake,2000000000,10/27/2015,Artificial intelligence,Chicago,United States,North America,2014,218000000,"Revolution, New Enterprise Associates, Caterpillar"
Calm,2000000000,2/6/2019,Consumer & retail,San Francisco,United States,North America,2012,218000000,"Insight Venture Partners, TPG Growth, Sound Ventures"
Coocaa,1000000000,3/16/2018,Hardware,Shenzhen,China,Asia,2006,218000000,"Baidu, Tencent Holdings"
Mensa Brands,1000000000,11/16/2021,Other,Bengaluru,India,Asia,2021,218000000,"Accel, Falcon Edge Capital, Norwest Venture Partners"
HomeLight,2000000000,9/2/2021,Fintech,San Francisco,United States,North America,2012,219000000,"Zeev Ventures, Menlo Ventures,Crosslink Capital"
Noname Security,1000000000,12/15/2021,Cybersecurity,Palo Alto,United States,North America,2020,220000000,"Insight Partners, Lightspeed Venture Partners, CyberStarts"
InMobi,2000000000,12/2/2014,Mobile & telecommunications,Bengaluru,India,Asia,2007,221000000,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
Sendbird,1000000000,4/6/2021,Mobile & telecommunications,San Mateo,United States,North America,2013,221000000,"FundersClub, Y Combinator, Tiger Global Management"
Hailo,1000000000,10/12/2021,Artificial intelligence,Tel Aviv,Israel,Asia,2017,221000000,"Glory Ventures, Maniv Mobility"
SafetyCulture,2000000000,5/3/2021,Internet software & services,Sydney,Australia,Oceania,2004,222000000,"Blackbird Ventures, IndexVentures, Tiger Global Management"
HuJiang,1000000000,10/29/2015,Edtech,Shanghai,China,Asia,2001,223000000,"China Minsheng Investment, Baidu, Wanxin Media"
Rubicon,1000000000,8/25/2017,Other,Atlanta,United States,North America,2008,223000000,"Goldman Sachs, Leonardo DiCaprio, Promecap"
OpenWeb,1000000000,11/9/2021,Internet software & services,New York,United States,North America,2012,223000000,"Insight Partners, AltaIR Capital, Norma Investments"
Baiwang,2000000000,3/25/2019,Fintech,Beijing,China,Asia,2015,224000000,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital"
BeiBei,1000000000,1/22/2015,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2011,224000000,"Banyan Capital, New Horizon Capital, IDG Capital Partners"
A24 Films,3000000000,3/9/2022,Other,New York,United States,North America,2012,225000000,"Stripes Group, Neuberger Berman"
Cognite,2000000000,5/19/2021,Data management & analytics,Lysaker,Norway,Europe,2016,225000000,"Technology Crossover Ventures, Accel, Aker"
SmartRecruiters,2000000000,7/20/2021,Internet software & services,San Francisco,United States,North America,2010,225000000,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners"
Whatnot,2000000000,9/16/2021,E-commerce & direct-to-consumer,Marina del Rey,United States,North America,2019,225000000,"Y Combinator, Andreessen Horowitz, Wonder Ventures"
Quora,2000000000,4/21/2017,Internet software & services,Mountain View,United States,North America,2009,226000000,"Y Combinator, Matrix Partners, Benchmark"
Aircall,1000000000,6/23/2021,Internet software & services,New York,United States,North America,2014,226000000,"Balderton Capital, Next World Capital, Draper Esprit"
Quantum Metric,1000000000,1/7/2021,Data management & analytics,Colorado Springs,United States,North America,2015,226000000,"Insight Partners, Bain Capital Ventures"
CredAvenue,1000000000,3/7/2022,Fintech,Chennai,India,Asia,2017,227000000,"Insight Partners, B Capital Group, Lightspeed Venture Partners"
Huisuanzhang,1000000000,5/24/2021,Fintech,Beijing,China,Asia,2015,227000000,"IDG Capital, Gaocheng Capital, Chuanrong Capital"
Aleo,1000000000,2/7/2022,Cybersecurity,San Francisco,United States,North America,2019,228000000,"Slow Ventures, Andreessen Horowitz, SoftBank Group"
Odoo,2000000000,7/29/2021,Internet software & services,Louvain-la-Neuve,Belgium,Europe,2005,229000000,"Summit Partners, Noshaq, Sofinnova Partners"
Keenon Robotics,1000000000,9/15/2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2010,229000000,"Yunqi Partners, SoftBank Group, iVision Ventures"
PointClickCare,4000000000,1/7/2021,Internet software & services,Mississauga,Canada,North America,2000,230000000,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity"
WeBull,1000000000,2/18/2021,Fintech,Changsha,China,Asia,2016,230000000,"Bojiang Capital, Hongdao Capital, Mobai Capital"
FloQast,1000000000,7/21/2021,Fintech,Los Angeles,United States,North America,2013,230000000,"Polaris Partners, Insight Partners, Norwest Venture Partners"
Spotter,2000000000,2/16/2022,Fintech,Los Angeles,United States,North America,2019,231000000,"SoftBank Group, Access Industries, Crossbeam Venture Partners"
Everly Health,1000000000,12/3/2020,E-commerce & direct-to-consumer,Austin,United States,North America,2015,231000000,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures"
Dental Monitoring,1000000000,10/21/2021,Health,Paris,France,Europe,2014,232000000,"Vitruvian Partners, Merieux Equity Partners, Straumann"
Mia.com,1000000000,9/8/2015,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,232000000,"Sequoia Capital China, ZhenFund, K2 Ventures"
BrewDog,2000000000,4/10/2017,Consumer & retail,Aberdeen,United Kingdom,Europe,2007,233000000,"TSG Consumer Partners, Crowdcube"
Kujiale,1000000000,10/25/2019,Internet software & services,Hangzhou,China,Asia,2011,235000000,"GGV Capital, IDG Capital, Linear Venture"
TensTorrent,1000000000,5/5/2021,Artificial intelligence,Toronto,Canada,North America,2016,235000000,"Eclipse Ventures, Fidelity Investments, Moore Capital Management"
Wayflyer,2000000000,2/1/2022,Fintech,Dublin,Ireland,Europe,2019,236000000,"QED Investors, DST Global, Left Lane Capital"
TaxBit,1000000000,8/4/2021,Fintech,Draper,United States,North America,2018,236000000,"Insight Partners, Coinbase Ventures, PayPal Ventures"
CloudBees,1000000000,12/9/2021,Data management & analytics,San Jose,United States,North America,2010,236000000,"Matrix Partners, Lightspeed Venture Partners, Verizon Ventures"
Reltio,2000000000,11/4/2021,Data management & analytics,Redwood City,United States,North America,2011,237000000,"Crosslink Capital, .406 Ventures, Sapphire Ventures"
Deliverect,1000000000,1/24/2022,Fintech,Ghent,Belgium,Europe,2018,237000000,"Newion Partners, SmartFin Capital, OMERS Ventures"
Unico,1000000000,8/3/2021,Artificial intelligence,Sao Paulo,Brazil,South America,2007,237000000,"Big Bets, General Atlantic, SOFTBANK Latin America Ventures"
Bluecore,1000000000,8/5/2021,Artificial intelligence,New York,United States,North America,2013,238000000,"FirstMark Capital, Georgian Partners, Norwest Venture Partners"
Payhawk,1000000000,2/14/2022,Fintech,London,United Kingdom,Europe,2018,239000000,"Earlybird Venture Capital, Eleven Ventures, QED Investors"
Standard,1000000000,2/17/2021,Artificial intelligence,San Francisco,United States,North America,2017,239000000,"CRV, Y Combinator, Initialized Capital"
Outschool,3000000000,4/14/2021,Edtech,San Francisco,United States,North America,2015,240000000,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital"
Opentrons,2000000000,9/23/2021,Hardware,New York,United States,North America,2016,240000000,"SOSV, Khosla Ventures, Lerer Hippeau"
Coda,1000000000,7/8/2021,Internet software & services,Mountain View,United States,North America,2014,240000000,"Greylock Partners, General Catalyst, Khosla Ventures"
Agile Robots,1000000000,9/9/2021,Hardware,Munich,Germany,Europe,2018,240000000,"Hillhouse Capital Management, Sequoia Capital China, Linear Venture"
Amagi,1000000000,3/16/2022,Internet software & services,Bengaluru,India,Asia,2008,240000000,"Mayfield, Accel, Norwest Venture Partners"
Papa,1000000000,11/4/2021,Health,Miami,United States,North America,2016,241000000,"Initialized Capital, Canaan Partners, Sound Ventures"
Intercom,1000000000,3/27/2018,Internet software & services,San Francisco,United States,North America,2011,241000000,"FirstMark Capital, Tiger Global Management"
Boom Supersonic,1000000000,12/16/2020,Other,Englewood,United States,North America,2014,241000000,"WRVI Capital, Caffeinated Capital, Y Combinator"
Amount,1000000000,5/17/2021,Fintech,Chicago,United States,North America,2019,243000000,"Invus Group, Hanaco Venture Capital, WestCap Group"
Lusha,2000000000,11/10/2021,Internet software & services,New York,United States,North America,2016,245000000,"PSG, ION Crossover Partners"
Ajaib,1000000000,10/4/2021,Fintech,Jakarta,Indonesia,Asia,2018,245000000,"Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners"
BigID,1000000000,12/16/2020,Cybersecurity,New York,United States,North America,2015,246000000,"BOLDstart Ventures, SAP.iO Fund, Scale Venture Partners"
Rivigo,1000000000,7/11/2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2014,247000000,"SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors"
Sourcegraph,3000000000,7/13/2021,Internet software & services,San Francisco,United States,North America,2013,248000000,"Redpoint Ventures, Goldcrest Capital, Insight Partners"
Hyperchain,1000000000,4/11/2021,Fintech,Hangzhou,China,Asia,2016,249000000,"Yinhong Equity Investment Fund, E Fund, Ideal International"
MobiKwik,1000000000,10/13/2021,Fintech,Gurugram,India,Asia,2009,249000000,"Sequoia Capital India, The Times Group, GMO VenturePartners"
Slice,1000000000,11/28/2021,Fintech,Bengaluru,India,Asia,2015,249000000,"Gunosy Capital, Blume Ventures, Das Capital"
BrowserStack,4000000000,6/16/2021,Internet software & services,Dublin,Ireland,Europe,2011,250000000,"Accel, Insight Partners, Bond Capital"
Jiuxian,1000000000,7/30/2015,E-commerce & direct-to-consumer,Beijing,China,Asia,2009,250000000,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth"
Red Ventures,1000000000,1/7/2015,Other,Fort Mill,United States,North America,2000,250000000,"Silver Lake Partners, General Atlantic"
H2O.ai,2000000000,11/7/2021,Artificial intelligence,Mountain View,United States,North America,2011,251000000,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners"
Formlabs,2000000000,8/1/2018,Hardware,Somerville,United States,North America,2011,251000000,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
Tongdun Technology,1000000000,4/25/2019,Cybersecurity,Hangzhou,China,Asia,2013,252000000,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co."
Mobvoi,1000000000,4/6/2017,Consumer & retail,Beijing,China,Asia,2012,252000000,"Sequoia Capital China, SIG Asia Investments, ZhenFund"
Orchard,1000000000,9/9/2021,Fintech,New York,United States,North America,2017,252000000,"Accomplice, Juxtapose, FirstMark Capital"
Paradox,2000000000,12/27/2021,Internet software & services,Scottsdale,United States,North America,2016,253000000,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures"
Snapdocs,2000000000,5/25/2021,Fintech,San Francisco,United States,North America,2012,253000000,"Sequoia Capital, Y Combinator, F-Prime Capital"
LinkDoc Technology,1000000000,7/5/2018,Health,Beijing,China,Asia,2014,253000000,"China Investment Corporation, New Enterprise Associates"
Chronosphere,1000000000,10/7/2021,Data management & analytics,New York,United States,North America,2019,254000000,"Greylock Partners, Lux Capital, General Atlantic"
Owkin,1000000000,11/18/2021,Artificial Intelligence,New York,United States,North America,2016,254000000,"Google Ventures, Cathay Innovation, NJF Capital"
Truepill,2000000000,10/27/2021,Health,Hayward,United States,North America,2016,255000000,"Initialized Capital, Sound Ventures, TI Platform Management"
SMS Assist,1000000000,6/7/2016,Internet software & services,Chicago,United States,North America,2003,255000000,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital"
Culture Amp,2000000000,7/29/2021,Internet software & services,Richmond,Australia,Oceania,2011,257000000,"Felicis Ventures, Index Ventures, Blackbird Ventures"
Incode Technologies,1000000000,12/7/2021,Cybersecurity,San Francisco,United States,North America,2015,257000000,"Dila Capital, Framework Ventures, 3L"
The Zebra,1000000000,4/12/2021,E-commerce & direct-to-consumer,Austin,United States,North America,2012,257000000,"Silverton Partners, Accel, Ballast Point Ventures"
G2,1000000000,6/22/2021,Internet software & services,Chicago,United States,North America,2012,258000000,"Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners"
Expel,1000000000,11/18/2021,Cybersecurity,Herndon,United States,North America,2016,258000000,"Paladin Capital Group, Greycroft, Scale Venture Partners"
Reify Health,2000000000,8/10/2021,Health,Boston,United States,North America,2012,259000000,"Sierra Ventures, Battery Ventures, Asset Management Ventures"
Evidation,1000000000,3/22/2021,Health,San Mateo,United States,North America,2012,259000000,"B Capital Group,, GE Ventures, McKesson Ventures"
Mythical Games,1000000000,11/4/2021,Internet software & services,Sherman Oaks,United States,North America,2018,260000000,"Javelin Venture Partners, Struck Capital, Alumni Ventures Group"
impact.com,2000000000,7/13/2021,Internet software & services,Santa Barbara,United States,North America,2008,261000000,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners"
Productboard,2000000000,2/2/2022,Internet software & services,San Francisco,United States,North America,2014,261000000,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners"
Gymshark,1000000000,8/14/2020,E-commerce & direct-to-consumer,Solihull,United Kingdom,Europe,2012,262000000,General Atlantic
HyalRoute,4000000000,5/26/2020,Mobile & telecommunications,,Singapore,Asia,2015,263000000,Kuang-Chi
VAST Data,4000000000,4/16/2020,Data management & analytics,New York,United States,North America,2016,263000000,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
LetsGetChecked,1000000000,6/7/2021,Health,Dublin,Ireland,Europe,2015,263000000,"Optum Ventures, Qiming Venture Partners, Transformation Capital"
Lydia,1000000000,12/8/2021,Fintech,Paris,France,Europe,2011,263000000,"NewAlpha, XAnge Private Equity, Tencent Holdings"
Firebolt,1000000000,1/26/2022,Data management & analytics,Tel Aviv,Israel,Asia,2019,264000000,"TLV Partners, Zeev Ventures, Bessemer Venture Partners"
Tealium,1000000000,2/3/2021,Internet software & services,San Diego,United States,North America,2008,264000000,"Georgian Partners, Silver Lake, Presidio Ventures"
Aqua Security,1000000000,3/10/2021,Cybersecurity,Ramat Gan,Israel,Asia,2015,265000000,"TLV Partners, Lightspeed Venture Partners, M12"
Mammoth Biosciences,1000000000,9/9/2021,Health,Brisbane,United States,North America,2017,265000000,"NFX, Plum Alley, Mayfield"
Glossier,2000000000,3/19/2019,Consumer & retail,New York,United States,North America,2014,266000000,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital"
DT Dream,1000000000,6/8/2017,Data management & analytics,Hangzhou,China,Asia,2015,267000000,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital"
Jeeves,2000000000,3/14/2022,Fintech,Orlando,United States,North America,2019,268000000,"Tencent Holdings, CRV, Clocktower Technology Ventures"
Pipa Coding,1000000000,3/25/2021,Edtech,Beijing,China,Asia,2017,268000000,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management"
Contrast Security,1000000000,11/9/2021,Cybersecurity,Los Altos,United States,North America,2014,269000000,"Acero Capital, General Catalyst, M12"
Gelato,1000000000,8/16/2021,E-commerce & direct-to-consumer,Oslo,Norway,Europe,2007,269000000,"Greylock Partners, Google Ventures, BlackRock"
K Health,1000000000,1/19/2021,Health,New York,United States,North America,2016,271000000,"Max Ventures, Mangrove Capital Partners, 14W"
Salt Security,1000000000,2/10/2022,Cybersecurity,Palo Alto,United States,North America,2016,271000000,"Y Combinator, S Capital, Tenaya Capital"
Copado,1000000000,9/13/2021,Data management & analytics,Chicago,United States,North America,2013,271000000,"Insight Partners, Salesforce Ventures, Perpetual Investors"
TrueLayer,1000000000,9/21/2021,Fintech,London,United Kingdom,Europe,2016,271000000,"Anthemis, Connect Ventures, Northzone Ventures"
Aibee,1000000000,4/13/2021,Artificial intelligence,Beijing,China,Asia,2017,273000000,"Sequoia Capital China, Lenovo Capital and Incubator, Group GSR Ventures"
RapidAPI,1000000000,3/23/2022,Internet software & services,San Francisco,United States,North America,2015,273000000,"Green Bay Ventures, M12, Andreessen Horowitz"
Scandit,1000000000,2/9/2022,"Supply chain, logistics, & delivery",Zurich,Switzerland,Europe,2009,273000000,"Atomico, NGP Capital, Google Ventures"
Infra.Market,3000000000,2/25/2021,E-commerce & direct-to-consumer,Thane,India,Asia,2016,274000000,"Accel, Tiger Global Management, Nexus Venture Partners"
Hibob,2000000000,10/12/2021,Internet software & services,Tel Aviv,Israel,Asia,2015,274000000,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures"
Sisense,1000000000,1/9/2020,Data management & analytics,New York,United States,North America,2004,274000000,"Opus Capital, Genesis Partners, Battery Ventures"
ZenBusiness,2000000000,11/9/2021,Fintech,Austin,United States,North America,2015,275000000,"Greycroft, Lerer Hippeau, Geekdom Fund"
Skydance Media,2000000000,2/11/2020,Other,Santa Monica,United States,North America,2010,275000000,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
Motorway,1000000000,11/29/2021,E-commerce & direct-to-consumer,London,United Kingdom,Europe,2017,276000000,"Marchmont Ventures, BMW i Ventures, Index Ventures"
Pattern,2000000000,10/6/2021,Internet software & services,Lehi,United States,North America,2013,277000000,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners"
ReCharge,2000000000,5/6/2021,Fintech,Los Angeles,United States,North America,2017,277000000,"ICONIQ Growth, Bain Capital Ventures, Summit Partners"
Mixpanel,1000000000,11/15/2021,Internet software & services,San Francisco,United States,North America,2009,277000000,"Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital"
Feedzai,1000000000,3/24/2021,Artificial intelligence,San Mateo,United States,North America,2009,277000000,"Global Founders Capital, Shea Ventures, Greycroft"
Emerging Markets Property Group,1000000000,4/28/2020,Other,Dubai,United Arab Emirates,Asia,2015,279000000,"OLX Group, KCK Group, EXOR Seeds"
Immutable,3000000000,3/7/2022,Fintech,Sydney,Australia,Oceania,2018,280000000,"Fabric Ventures, AirTree Ventures, Temasek"
Bunq,2000000000,6/18/2021,Fintech,Amsterdam,Netherlands,Europe,2013,281000000,Undisclosed
Juma Peisong,1000000000,11/26/2018,"Supply chain, logistics, & delivery",Chengdu,China,Asia,2011,281000000,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital"
MindTickle,1000000000,8/3/2021,Internet software & services,San Francisco,United States,North America,2012,281000000,"Qualcomm Ventures, Accel, Canaan Partners"
Capitolis,2000000000,3/22/2022,Fintech,New York,United States,North America,2017,282000000,"Sequoia Capital, Index Ventures, S Capital"
Lookout,1000000000,10/10/2013,Cybersecurity,San Francisco,United States,North America,2007,282000000,"Accel Partners, Greylock Partners, Lowercase Capital"
FXiaoKe,1000000000,7/2/2015,Mobile & telecommunications,Beijing,China,Asia,2011,283000000,"IDG Capital, Northern Light Venture Capital, DCM Ventures"
GO1,1000000000,7/19/2021,Internet software & services,Brisbane,Australia,Oceania,2015,284000000,"Y Combinator, M12, SEEK"
Biren Technology,2000000000,8/18/2020,Hardware,Shanghai,China,Asia,2019,285000000,"V FUND, IDG Capital, Green Pine Capital Partners"
OCSiAl,2000000000,3/4/2019,Other,Leudelange,Luxembourg,Europe,2012,285000000,"A&NN, Rusnano"
NIUM,1000000000,7/13/2021,Fintech,,Singapore,Asia,2014,285000000,"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures"
Lendable,5000000000,3/31/2021,Fintech,London,United Kingdom,Europe,2014,286000000,"Ontario Teachers' Pension Plan, Goldman Sachs"
SparkCognition,1000000000,1/25/2022,Artificial intelligence,Austin,United States,North America,2013,286000000,"March Capital Partners, Temasek, Doha Venture Capital"
MUSINSA,2000000000,11/11/2019,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2001,287000000,Sequoia Capital
Epirus,1000000000,2/14/2022,Other,Hawthorne,United States,North America,2018,287000000,"8VC, Bedrock Capital, Broom Ventures"
Carousell,1000000000,9/15/2021,E-commerce & direct-to-consumer,,Singapore,Asia,2012,288000000,"500 Global, Rakuten Ventures, Golden Gate Ventures"
Built,2000000000,9/30/2021,Internet software & services,Nashville,United States,North America,2015,289000000,"Nyca Partners, Index Ventures, Technology Crossover Ventures"
